INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER
200101,THA,2015,68714.511,,
200101,TJK,2015,8454.028,,
200101,TKL,2015,1.252,,
200101,TKM,2015,5565.287,,
200101,TLS,2015,1196.302,,
200101,TON,2015,100.781,,
200101,TTO,2015,1370.328,,
200101,TUN,2015,11179.949,,
200101,TUR,2015,78529.409,,
200101,TUV,2015,11.099,,
200101,TZA,2015,51482.633,,
200101,UGA,2015,38225.453,,
200101,URY,2015,3412.009,,
200101,USA,2015,320878.31,,
200101,UZB,2015,30929.557,,
200101,VAT,2015,0.803,,
200101,VCT,2015,109.148,,
200101,VEN,2015,30081.829,,
200101,VGB,2015,29.152,,
200101,VIR,2015,104.958,,
200101,VNM,2015,92677.076,,
200101,WSM,2015,193.513,,
200101,YEM,2015,26497.889,,
200101,ZAF,2015,55386.367,,
200101,ZMB,2015,15879.361,,
200101,ZWE,2015,13814.629,,
200101,ZZA,2015,165.385,,
200101,SXM,2015,39.968,,
200101,VUT,2015,271.13,,
200101,FRA,2015,64453.2,,
