,INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER
21425,GER.02.F,GBR,2016,110.27176,,
21569,GER.02.F,BEN,2009,13.90978,,
21658,GER.02.F,KHM,2013,15.02011,,
21862,GER.02.F,MYS,1974,7.74961,,
21872,GER.02.F,MUS,1981,25.17758,,
21961,GER.02.F,DOM,2000,34.87882,,NAT_EST
22110,GER.02.F,FJI,2006,17.12393,,
22395,GER.02.F,CAF,2011,5.18083,,
22410,GER.02.F,BDI,1984,0.28373,,
22434,GER.02.F,NOR,2017,95.53794,,
22566,GER.02.F,IRL,1979,98.32201,,
23254,GER.02.F,KWT,1980,32.85552,,
23349,GER.02.F,IRL,1985,104.34808,,
23353,GER.02.F,VCT,2009,84.37863,,
23387,GER.02.F,IND,1972,1.18538,,
23548,GER.02.F,AGO,1982,34.63921,,
23621,GER.02.F,GTM,2009,74.6713,,
23722,GER.02.F,COL,1998,37.40256,,
23932,GER.02.F,KWT,1975,30.33226,,
23946,GER.02.F,NLD,2017,94.37779,,
23955,GER.02.F,MDA,2000,41.79818,,NAT_EST
24109,GER.02.F,MDA,2012,78.97288,,NAT_EST
24288,GER.02.F,ARE,1977,30.44783,,
24621,GER.02.F,CPV,2012,70.92052,,
24845,GER.02.F,TUR,2000,6.32406,,
24870,GER.02.F,MDV,1996,64.74652,,
24892,GER.02.F,RWA,2014,16.95343,,
25010,GER.02.F,ARG,1971,25.45336,,
25075,GER.02.F,GBR,2004,59.46638,,
25258,GER.02.F,FIN,2009,65.82598,,
25362,GER.02.F,CAF,2007,3.28511,,
25385,GER.02.F,ARM,2015,53.58846,,
25499,GER.02.F,VUT,1971,3.69482,,
25794,GER.02.F,GRD,2013,102.5716,,
25976,GER.02.F,CMR,1978,4.97174,,
26175,GER.02.F,LAO,2006,10.5203,,
26385,GER.02.F,MAR,1977,20.42008,,
26421,GER.02.F,EGY,2005,15.31726,,
26531,GER.02.F,QAT,1986,17.92762,,
26984,GER.02.F,SOM,1981,0.55227,,
27188,GER.02.F,WSM,2011,40.82007,,
27342,GER.02.F,KHM,1998,4.40545,,
27614,GER.02.F,SLE,2011,6.39754,,
27993,GER.02.F,URY,1996,45.75125,,
28002,GER.02.F,MDA,2001,42.90434,,UIS_EST
28078,GER.02.F,SYR,2009,8.81649,,
28447,GER.02.F,MKD,2006,33.93991,,
28500,GER.02.F,BMU,1977,114.7806,,
28798,GER.02.F,GHA,1989,32.77372,,
29033,GER.02.F,BDI,1999,0.75007,,
29152,GER.02.F,MSR,2002,105.12821,,
29318,GER.02.F,PAK,2013,68.36594,,UIS_EST
29422,GER.02.F,IRL,1975,106.573,,
29504,GER.02.F,SYC,1995,101.34185,,
29614,GER.02.F,NIC,1982,8.66314,,
29654,GER.02.F,SLB,2012,93.55525,,
29866,GER.02.F,LUX,2002,83.5449,,
30108,GER.02.F,SYR,2011,10.03806,,
30139,GER.02.F,TLS,2015,21.08615,,
30140,GER.02.F,TGO,2011,9.22698,,
30441,GER.02.F,VNM,1999,39.34559,,
30448,GER.02.F,SLV,1998,40.74401,,
30640,GER.02.F,PAN,1980,32.78825,,
30650,GER.02.F,IND,1978,1.7555,,
30658,GER.02.F,ROU,1972,38.63558,,
30826,GER.02.F,BEL,1995,117.60247,,
30916,GER.02.F,QAT,2018,60.64233,,
31122,GER.02.F,PRY,2012,37.22187,,
31151,GER.02.F,ZAF,2017,24.67843,,
31258,GER.02.F,GUY,2005,89.93541,,
31335,GER.02.F,CZE,2017,104.73123,,
31398,GER.02.F,BRN,1986,42.46223,,
31654,GER.02.F,ARE,1989,55.06438,,
31665,GER.02.F,LTU,2009,78.43241,,NAT_EST
31672,GER.02.F,ALB,2013,83.41867,,
31738,GER.02.F,KGZ,2002,10.56533,,
31986,GER.02.F,CUB,1981,58.45975,,
32363,GER.02.F,DMA,2010,104.81523,,
32379,GER.02.F,MSR,1999,64.36782,,
32420,GER.02.F,UZB,2004,26.63149,,
32510,GER.02.F,NER,2001,1.05938,,
32558,GER.02.F,BLR,2007,104.39803,,
33026,GER.02.F,KGZ,2017,38.80765,,
33072,GER.02.F,CRI,2004,66.21147,,
33234,GER.02.F,BRB,1982,41.46987,,
33309,GER.02.F,DMA,2000,73.83535,,NAT_EST
33416,GER.02.F,PAN,2002,53.6574,,
33566,GER.02.F,AUS,2006,81.91334,,
33713,GER.02.F,KGZ,2011,20.31867,,
33715,GER.02.F,CRI,2011,78.15999,,
33730,GER.02.F,SEN,2012,15.02315,,
33837,GER.02.F,VUT,1976,11.06167,,
33911,GER.02.F,CMR,1995,10.30569,,
34007,GER.02.F,NAM,2018,34.80725,,
34073,GER.02.F,NOR,2014,98.09349,,
34156,GER.02.F,ARG,1997,54.1629,,
34268,GER.02.F,BEN,1996,2.7218,,
34287,GER.02.F,VGB,1992,52.28758,,
34472,GER.02.F,ECU,2014,73.81049,,
34613,GER.02.F,DOM,2016,49.38129,,NAT_EST
34778,GER.02.F,SYC,1986,100.55283,,
34792,GER.02.F,FJI,1978,8.45035,,
34858,GER.02.F,IRL,2016,114.89936,,NAT_EST
34937,GER.02.F,FRA,1980,100.40165,,
34938,GER.02.F,QAT,2011,56.03578,,
34968,GER.02.F,MKD,2001,28.6962,,
35365,GER.02.F,HUN,1997,79.69761,,
35377,GER.02.F,PRY,1970,3.25845,,
35483,GER.02.F,MNE,2012,59.20142,,
35883,GER.02.F,IRL,1987,104.54956,,
35986,GER.02.F,BMU,1971,106.44567,,
36004,GER.02.F,QAT,1991,15.89184,,
36009,GER.02.F,MEX,2006,99.86668,,
36051,GER.02.F,PHL,2015,99.76877,,
36348,GER.02.F,DJI,1987,0.75665,,
36354,GER.02.F,SLV,1970,7.27756,,
36451,GER.02.F,KWT,1999,83.62,,
36663,GER.02.F,SYR,2003,9.26458,,
36858,GER.02.F,TUV,2014,94.4591,,
37076,GER.02.F,ESP,1995,91.59997,,
37349,GER.02.F,HUN,1994,78.50602,,
37514,GER.02.F,BGR,2008,81.62384,,
37517,GER.02.F,MAR,1979,20.97636,,
37791,GER.02.F,EGY,2014,29.62553,,
37846,GER.02.F,CRI,1981,20.37215,,
38221,GER.02.F,ROU,1975,45.65416,,
38492,GER.02.F,GTM,2000,49.32424,,
38495,GER.02.F,CMR,2016,39.00036,,
38651,GER.02.F,GHA,2012,113.80907,,
38753,GER.02.F,CHE,1980,74.40148,,
39119,GER.02.F,NZL,2015,92.53293,,
39197,GER.02.F,EGY,1986,4.49659,,
39206,GER.02.F,ITA,2011,98.85279,,
39393,GER.02.F,PRT,2016,92.96331,,
39430,GER.02.F,ERI,2015,19.34728,,
39565,GER.02.F,ALB,2016,88.9765,,
39573,GER.02.F,TLS,2016,21.46107,,
39692,GER.02.F,TUN,1998,12.99756,,
39736,GER.02.F,EGY,1991,6.02947,,
39811,GER.02.F,ARG,1983,46.16392,,
39919,GER.02.F,QAT,2016,60.38752,,
39927,GER.02.F,AUT,2012,103.05027,,
40141,GER.02.F,CYP,1976,9.03804,,
40189,GER.02.F,ALB,2011,71.29201,,
40412,GER.02.F,LBY,1985,5.76722,,
40558,GER.02.F,SYR,1975,3.80631,,
40677,GER.02.F,CZE,1990,109.36121,,
40726,GER.02.F,PAK,2001,46.27328,,NAT_EST
40766,GER.02.F,BEL,1980,101.57273,,
41020,GER.02.F,MMR,2008,5.36445,,
41191,GER.02.F,TJK,2002,7.79594,,
41335,GER.02.F,BEL,2015,116.60245,,
41370,GER.02.F,CYP,1980,19.50332,,
41388,GER.02.F,GMB,2016,38.65428,,
41787,GER.02.F,STP,2005,28.99302,,
41839,GER.02.F,VAT,1991,0,,
41844,GER.02.F,DZA,2007,30.54207,,
41987,GER.02.F,HKG,1995,86.65297,,
42047,GER.02.F,SMR,2011,120.2381,,
42156,GER.02.F,CZE,1985,90.27096,,
42193,GER.02.F,VNM,1980,36.43029,,
42231,GER.02.F,JOR,1996,23.67738,,
42368,GER.02.F,MEX,2008,106.08751,,
42476,GER.02.F,GUY,1978,57.27014,,
42594,GER.02.F,KHM,2000,6.50697,,
42750,GER.02.F,BMU,2012,59.94065,,
42818,GER.02.F,DNK,2016,95.30659,,
42916,GER.02.F,EGY,2001,11.39257,,
42928,GER.02.F,VEN,2010,76.21509,,
43036,GER.02.F,CZE,1981,86.75098,,
43096,GER.02.F,SUR,1978,98.79758,,
43216,GER.02.F,AUS,2002,102.43447,,
43386,GER.02.F,SVN,1996,59.58199,,
